sex,age_min,age_max,upper_threshold_white,upper_threshold_black,upper_threshold_aian,upper_threshold_asian,upper_threshold_nhpi
Male,0,4,0.72654,0.8974,0.92363,0.99326,1
Male,5,9,0.72698,0.8969,0.92305,0.99337,1
Male,10,14,0.73116,0.89933,0.92495,0.99356,1
Male,15,19,0.73946,0.90256,0.9271,0.99415,1
Male,20,24,0.7369,0.8999,0.92397,0.99438,1
Male,25,29,0.72914,0.89442,0.91793,0.99433,1
Male,30,34,0.74515,0.89176,0.91366,0.99431,1
Male,35,39,0.75778,0.89459,0.91594,0.99446,1
Male,40,44,0.7643,0.89807,0.91887,0.99499,1
Male,45,49,0.77433,0.90395,0.92335,0.99565,1
Male,50,54,0.79003,0.91654,0.93492,0.99609,1
Male,55,59,0.80528,0.92595,0.94333,0.9965,1
Male,60,64,0.81722,0.93081,0.94692,0.99693,1
Male,65,69,0.8324,0.93375,0.94838,0.9973,1
Male,70,74,0.84999,0.93776,0.95111,0.99749,1
Male,75,79,0.85856,0.93937,0.95155,0.99773,1
Male,80,84,0.8603,0.93839,0.9496,0.99788,1
Male,85,110,0.87052,0.93982,0.9496,0.99797,1
Female,0,4,0.72422,0.89793,0.92429,0.99325,1
Female,5,9,0.72468,0.89728,0.92364,0.99339,1
Female,10,14,0.72772,0.89863,0.92434,0.99353,1
Female,15,19,0.73466,0.90028,0.92508,0.99412,1
Female,20,24,0.73192,0.89809,0.92244,0.99441,1
Female,25,29,0.72089,0.89076,0.91417,0.99436,1
Female,30,34,0.72929,0.88567,0.907,0.9945,1
Female,35,39,0.73696,0.88661,0.90761,0.99463,1
Female,40,44,0.74052,0.889,0.9095,0.99514,1
Female,45,49,0.75195,0.89624,0.91551,0.99573,1
Female,50,54,0.77004,0.90993,0.92833,0.99605,1
Female,55,59,0.78714,0.92008,0.93776,0.99647,1
Female,60,64,0.79854,0.92483,0.94131,0.99697,1
Female,65,69,0.81104,0.92775,0.94254,0.99731,1
Female,70,74,0.8295,0.9335,0.94679,0.99761,1
Female,75,79,0.83977,0.93836,0.95052,0.99785,1
Female,80,84,0.8426,0.93992,0.95109,0.99794,1
Female,85,110,0.85517,0.9434,0.95286,0.99817,1